Temperature,Heating_Rate,Residence_Time,Plastic_Type,Moisture_Content,Feed_Rate,Catalyst_Ratio,Gas_Yield,CO2_Emission,Risk_Level
449.8,16.8,72.9,PET,0.58,18.36,0.1599,43.21,20.0,Low
680.3,16.1,98.6,PET,2.8,10.98,0.0414,56.33,193.27,Low
592.8,45.8,93.6,LDPE,12.47,14.77,0.1774,50.63,20.0,Low
539.5,16.2,26.9,PET,11.5,9.28,0.0944,37.69,105.44,Medium
362.4,17.2,26.4,PET,5.26,12.97,0.0157,36.34,154.88,Low
362.4,39.2,39.5,LDPE,5.65,7.47,0.2846,40.67,20.0,Low
323.2,25.2,49.7,PP,8.0,6.72,0.1924,33.1,20.0,Low
646.5,40.0,54.9,PP,0.0,11.99,0.2631,58.17,20.0,Low
540.4,7.9,84.8,PET,3.62,10.46,0.2028,47.04,20.0,Low
583.2,26.9,16.2,PET,3.12,12.01,0.1071,45.91,87.02,Low
308.2,6.5,13.8,LDPE,3.76,6.45,0.1538,31.33,20.0,Low
688.0,7.8,53.1,LDPE,12.09,7.97,0.2027,51.78,20.0,Medium
633.0,45.8,86.7,PP,4.2,2.59,0.2881,58.2,20.0,Low
384.9,11.3,31.3,HDPE,2.87,1.99,0.0761,39.7,51.49,Low
372.7,29.0,80.6,PET,7.56,5.82,0.2625,40.59,20.0,Low
373.4,23.5,38.6,HDPE,12.98,2.41,0.2772,37.46,20.0,Low
421.7,20.6,107.5,HDPE,3.62,2.97,0.2011,49.18,20.0,Low
509.9,45.5,108.5,LDPE,1.18,16.45,0.2794,55.16,20.0,Low
472.8,6.0,42.7,PET,5.35,1.74,0.1194,38.39,32.86,Low
416.5,34.9,35.3,PET,11.21,13.52,0.2859,35.98,20.0,Low
544.7,48.4,55.2,LDPE,8.26,6.18,0.2108,47.24,20.0,Low
355.8,30.2,36.5,HDPE,12.25,17.56,0.0126,34.16,158.61,Low
416.9,47.2,84.0,LDPE,14.39,10.21,0.2721,39.44,20.0,Low
446.5,7.4,100.9,PP,11.89,6.81,0.1453,38.13,20.0,Low
482.4,23.8,84.0,PET,9.06,10.84,0.1381,40.63,23.32,Low
614.1,16.7,100.7,PP,7.4,8.26,0.1699,52.23,20.0,Low
379.9,37.9,53.7,LDPE,0.6,11.72,0.0448,42.21,109.93,Low
505.7,49.2,27.2,PET,14.76,3.18,0.1407,38.15,49.93,Medium
537.0,16.5,91.2,PP,5.75,19.94,0.2493,44.46,20.0,Low
318.6,34.4,49.7,PP,2.28,9.09,0.0046,40.38,138.73,Low
543.0,13.9,83.8,HDPE,10.0,7.62,0.0819,50.83,96.71,Medium
368.2,30.4,39.8,PET,4.26,14.49,0.0007,36.4,186.44,Low
326.0,25.9,18.9,PP,8.79,7.91,0.1247,35.45,20.0,Low
679.6,48.7,119.2,PP,8.8,16.83,0.2185,58.12,20.0,Low
686.3,32.4,27.2,HDPE,6.69,9.63,0.2396,59.36,20.0,Medium
623.4,20.7,118.7,PP,12.54,14.67,0.2836,50.96,20.0,Low
421.8,10.1,117.5,PP,3.97,3.04,0.1826,45.91,20.0,Low
339.1,11.8,97.3,PP,6.73,17.08,0.0764,35.39,36.42,Low
573.7,15.1,82.5,HDPE,8.07,14.98,0.2772,52.18,20.0,Low
476.1,16.3,73.6,PP,9.95,5.02,0.2326,43.28,20.0,Low
348.8,43.3,105.3,PP,11.76,3.76,0.1723,39.86,20.0,Low
498.1,30.3,41.8,PET,5.92,7.01,0.2087,43.79,20.0,Low
